Tweet,PositiveWord,NegativeWords,TotalPostive,TotalNegative,Polarity 
richer members of the world trade organization wto blocked a push by over 80 developing countries on wednesday to ,['richer'],nan,1,0,Positive
we need to stay vigilant to prevent the spread of covid 19 we are working to distribute the vaccine in a way that ,['vigilant'],nan,1,0,Positive
rt ellie 00 you can register your phone number to 999 by just texting them register this means you can text the emergency services if ,nan,['emergency'],0,1,Negative
 elistokols trump went for months denying the virus existed he refused to acknowledge anything about it he accept ,nan,"['denying', 'virus', 'refused']",0,3,Negative
rt killurbluff derickireland walealiyu your simply ignorant of the entirety of the matter everybody knows pfizer recieved 1 95 bill ,nan,['ignorant'],0,1,Negative
rt jkagan1 ever wonder what happens when ecosystems clash our new study describes how the rules of pattern recognition are defined local ,nan,nan,1,1,neutral
kinda glad my bf didn t propose marriage immediately before or during covid no hate to those that did but just sa ,nan,nan,1,1,neutral
i think the mother is unnecessarily worried but she really needs to be allowed to make her own judgment about what ,nan,['worried'],0,1,Negative
 newsmax i remember he ignored the spreading pandemic while attempting to profit off the vaccines ,nan,nan,0,0,neutral
rt lolo4beans why isn t desantis being investigated for his undercounting of covid victims for his entire state ,nan,nan,0,0,neutral
rt kayleighmcenany question for white house briefing biden said he inherited vaccine mess amp won t acknowledge the historic work of th ,"['won', 'work']",nan,2,0,Positive
 hannahveresa i couldn t imagine having to do that with my 3 for a year i ve also read that l lysine helps reduce ,nan,nan,0,0,neutral
rt nick the geek78 asymptomatic transmission proven a myth by who and dozens of scientists and papers but we all need to get the vacci ,nan,nan,1,1,neutral
don t put it off we are fortunate to have such a ready supply of vaccine as part of the uk project and to have a b ,"['fortunate', 'ready']",nan,2,0,Positive
covid vaccine access is a bigger hurdle than hesitancy but hesitancy will be an issue reminder ridicule sham ,nan,"['issue', 'ridicule', 'sham']",0,3,Negative
rt frank schaeffer the amount of damage evangelical leaders who got trump elected did incalculable harm they are responsible for hundred ,nan,"['damage', 'harm']",0,2,Negative
rt strandjunker the amount of damage fox news has caused is probably incalculable they are responsible for hundreds of thousands more co ,nan,['damage'],0,1,Negative
rt jacchyna just got my vaccine said no one in ireland ever,nan,nan,0,0,neutral
rt peacehaventown council emergency grant helps eight local charities so far if your group is in need of emergency grant funding ple ,nan,['emergency'],0,1,Negative
rt chrisan51147433 frankamari2 heidiomahony johncornyn hey cornyn why didn t you speak up when trump was deliberately spewing falseho ,nan,nan,1,1,neutral
rt joececiyyc so under the ucp you will pay more for income tax car insurance tuition electricity education property taxes vehicle r ,nan,nan,0,0,neutral
 occupyhope npr he killed around 5000 nursing home residents with his covid regimen,nan,['killed'],0,1,Negative
ny governor andrew cuomo s top assistant melissa derosa is not only the highest ranking woman in the cuomo admini ,nan,nan,1,1,neutral
covid 19 deaths falling but americans must remain vigilant ,nan,nan,1,1,neutral
rt meidas staci meiselasb and we also need our dear leader to actually get his vaccine in secret while 500 000 american die of the dis ,nan,['die'],0,1,Negative
rt ellie 00 you can register your phone number to 999 by just texting them register this means you can text the emergency services if ,nan,['emergency'],0,1,Negative
rt lanceusa70 jim jordan i m sure 535 758 americans who have died from covid would love a chance to enjoy freedom again those currentl ,"['love', 'enjoy', 'freedom']",nan,3,0,Positive
 jim jordan connecticut must have done as we re all asked and lined up to get the trump vaccine thank god for the trump vaccine ,"['trump', 'thank']",nan,2,0,Positive
rt gopchairwoman only 9 of biden s 1 9 trillion boondoggle goes directly towards fighting covid and only 1 goes towards vaccines i ,nan,nan,0,0,neutral
rt kut texas attorney general ken paxton s effort to get austin travis county s mask rules blocked in court fell short today the mask ma ,nan,['fell'],0,1,Negative
you gotta be 1 stupid mf to think i m getting that fuckin vaccine not doing it idc ,nan,"['stupid', 'not']",0,2,Negative
rt ericmmatheny a nationwide vaccination program didn t begin on the afternoon of january 20th for nearly a year in the face of a medi ,nan,nan,0,0,neutral
rt commondreams we need a people s vaccine not a profit vaccine sanders urges biden to support push to suspend pharma patents ,nan,nan,1,1,neutral
rt resistersis20 please vote and rt covid19 vaccine data i ,nan,nan,0,0,neutral
rt karabo mokgoko 1 of your biggest blessings is surviving fighting covid 19 to this day ,nan,nan,0,0,neutral
rt johnpavlovitz breaking joe biden is crushing this presidency and republicans are rightly terrified while we re getting vaccines co ,nan,"['breaking', 'crushing']",0,2,Negative
either cut back taken away or lost between donnie gutting everything and hating poor people to fucking covid w ,nan,"['lost', 'hating', 'poor', 'fucking']",0,4,Negative
rt alamoontherise it s laughable trump supporters demand credit for operation warp speed but refuse to take the vaccine ,nan,"['laughable', 'warp', 'refuse']",0,3,Negative
rt ggooooddddoogg as soon as covid hit all liquor laws should have been suspended immediately including drinking in public,nan,nan,0,0,neutral
rt dancrenshawtx you bribed americans with their own money and foot our kids with the bill you spend only 1 on vaccine distribution y ,nan,nan,0,0,neutral
rt captmarkkelly lack of internet access or transportation are significant barriers to receiving the vaccine especially for arizona s u ,nan,nan,1,1,neutral
rt kylegriffin1 states with republican governors had the highest covid incidence and death rates ,nan,['death'],0,1,Negative
rt swaggrry if harry styles had covered take me to church by hozier covid wouldn t exist,nan,nan,0,0,neutral
rt kylegriffin1 federally funded health clinics are getting covid vaccines to more people of color these patients have built up trust ,['trust'],nan,1,0,Positive
rt lozzafox a spokeswoman for mr khan said sadiq will not engage with politicians on the extreme far right don t be a coward sa ,nan,"['not', 'coward']",0,2,Negative
i want you to know that am never leaving cus i m ms snow tell death we be freezing ,nan,"['death', 'freezing']",0,2,Negative
rt lewan yaakubu say the vaccine de33 unless dem mix am plus ataya before he go take ,nan,nan,0,0,neutral
rt twitchyteam we are done letting govt use covid to play politics with our lives gina carano calls down the thunder on biden s july ,nan,nan,0,0,neutral
rt actuallyroo i ve realised that people don t know this but if you get offered the vaccine have it people are refusing so that people ,nan,['refusing'],0,1,Negative
rt cohokelly vaccine update from cdcgov 2 92m new doses record avg at 2 30m doses per day record us crosses 100m doses admi ,nan,nan,0,0,neutral
rt ksorbs raise your hand if you re more concerned about losing your constitutional rights than you are about covid,nan,"['concerned', 'losing']",0,2,Negative
rt nwssandiego the snow views from webcams this morning are here are a few webcam pictures from around our mountains quite the winter ,nan,nan,0,0,neutral
rt nwslosangeles scattered showers and isolated t storms with brief heavy showers of rain and small hail with low elevation mountain snow ,nan,nan,1,1,neutral
 richiebrklacich just found this article on more variants and vaccine efficacy ,nan,nan,0,0,neutral
rt guypbenson as calls for cuomo s resignation mount where are the president amp vice president they each claim to be strong supporters o ,nan,"['resignation', 'vice']",0,2,Negative
 bfossil themisj3 govuk lick a doorknob then google long covid ,nan,nan,0,0,neutral
rt globeandmail when the music s over covid 19 decimated the arts in canada and the worst may be yet to come ,nan,['worst'],0,1,Negative
rt naomirwolf ok switzerland italy austria latvia lithuania estonia luxembourg iceland south africa norway denmark have all su ,nan,nan,0,0,neutral
rt themindsculpter i asked my friend s 10 year old son if he had to wear a mask at school he said he didn t but the teacher s wore them ,nan,nan,0,0,neutral
rt sensanders today my colleagues and i sent a letter to secblinken asking him to urge the israeli government to make sure that all pale ,nan,['pale'],0,1,Negative
rt stacey rudin can you imagine a bigger extortion scam prove you re healthy by buying a 200 covid test or cave into taking the va ,nan,"['extortion', 'scam', 'cave']",0,3,Negative
 johncornyn evidently you re deaf john he never said everyone would be vaccinated by may he said we could be s ,nan,['deaf'],0,1,Negative
 brandon beaber 99 7 survival rate without an experimental vaccine seems like an excellent way of living longer,"['survival', 'like', 'excellent']",nan,3,0,Positive
woooooo getting vaccine shot now i can go to allstar sports and put my hand in the gators mouth ,nan,nan,0,0,neutral
rt meiselasb the gqp be like we don t believe in vaccines and we don t believe covid is a public health concern but please give credit ,nan,nan,1,1,neutral
rt sensanders today my colleagues and i sent a letter to secblinken asking him to urge the israeli government to make sure that all pale ,nan,['pale'],0,1,Negative
 aaronpaquette that is too bad but i understand your situation on my non anonymous social media i ll be posti ,nan,['bad'],0,1,Negative
rt sarahunsicker missouri ranks 50th in the nation for the amount of state money dedicated to public health with a per person rate of ,['dedicated'],nan,1,0,Positive
rt repslotkin there s so much good vaccine news out today it s hard to know where to start first ford field will be used as a mass vacc ,nan,nan,1,1,neutral
rt sites4congress davidmweissman fun fact about jim jordan he s one of the few congressmen who s voted against multiple covid relief bi ,"['fun', 'relief']",nan,2,0,Positive
 unwillingmuggle snow blacck that was my thought too ,nan,nan,0,0,neutral
rt meiselasb the gqp be like we don t believe in vaccines and we don t believe covid is a public health concern but please give credit ,nan,nan,1,1,neutral
rt ofcom take care if you receive calls emails or texts about the covid 19 vaccine fraudsters are contacting people claiming to be fro ,nan,nan,0,0,neutral
rt emily burns v un masking children thread 1 of 4 the role of children in covid 19 transmission 1 children are not major drivers of ,nan,"['burns', 'not']",0,2,Negative
rt cocohealth media release contra costa improves to red tier shows steady improvement since winter covid 19 spike ,"['improves', 'steady', 'improvement']",nan,3,0,Positive
rt joshtpm 2 and here are the details and receipts ,nan,nan,0,0,neutral
rt swannyqld there is a serious problem with australia s vaccine roll out which the morrison government hasn t fessed up to auspol ,nan,['problem'],0,1,Negative
logging into my eventbrite app after a year is actually depressing seeing everything i did before covid ,nan,['depressing'],0,1,Negative
rt rupertg what went wrong this time last year johnson was minded that the uk take it on the chin with covid they do like their shor ,nan,nan,1,1,neutral
the covid chapter was the hardest part of my book to write no string of words ever felt like an adequate depiction ,"['like', 'adequate']",nan,2,0,Positive
rt jim jordan president trump got us the covid19 vaccine president biden plagiarized it ,['trump'],nan,1,0,Positive
rt isabela espadas got to help report this important piece on brazil s covid outbreak which is currently at its most critical point th ,nan,"['outbreak', 'critical']",0,2,Negative
rt senschumer thank you president biden thank you vice president harris thank you speaker pelosi together democrats delivered b ,nan,nan,1,1,neutral
rt bucksexton here are the experts who actually did the science telling us that the cdc is wrong in its conclusions about their data ,nan,['wrong'],0,1,Negative
rt isgoodrum china bolivia venezuela cuba and other global south countries support an ip waiver so generic covid vaccines can be mass ,['support'],nan,1,0,Positive
rt jilevin biden hails a change in paradigm as he celebrates relief bill ,['relief'],nan,1,0,Positive
 wgrz ok so we can have a emergency vote ,nan,['emergency'],0,1,Negative
rt snopes at snopes we rely on questions submitted by our readers to determine what to cover you can mark the different phases of the ,nan,nan,0,0,neutral
world health organization spokeswoman says astrazeneca coronavirus vaccine should continue to be used,nan,nan,0,0,neutral
rt frank schaeffer have had 2 vaccine jabs voted for a great president am watching the gop crumble into mumbling discontent as biden be ,nan,"['crumble', 'discontent']",0,2,Negative
rt jamesbullock81 ibm watson boosts vaccine campaign pinterest climbing friday s daily brief ,nan,nan,0,0,neutral
rt kurteichenwald when i traveled hours to get my vaccine i went though a lot of rural texas i saw these signs saying things like jesu ,['like'],nan,1,0,Positive
rt gtlem on one side men like warren kinsella toronto sun say donald trump deserves credit for the vaccine amp operation warp speed ,"['like', 'trump']",nan,2,0,Positive
rt tccollege we re proud of our commitment to supporting our students and helping them stay in school during the covid 19 pandemic ,"['proud', 'commitment', 'supporting', 'helping']",nan,4,0,Positive
guys trip post covid gone be some shit tycoon shit ,nan,['shit'],0,1,Negative
 thelatinotaco yep but i think packed events and mask free life will happen as soon as we hit 50 or 75 percent va ,['free'],nan,1,0,Positive
rt teezysooskep which vaccine should i get indica or sativa,nan,nan,0,0,neutral
rt vcuhealth as vaccine distribution ramped up public health experts in virginia realized they would need volunteers to distribute the v ,nan,nan,0,0,neutral
rt nickadamsinusa joe biden has nothing to do with creating a vaccine ,nan,nan,0,0,neutral
rt nbcnews several european countries halted the rollout of oxford astrazenaca covid 19 vaccine this week because of reports some patient ,['patient'],nan,1,0,Positive
 derek1910 you could well be right but the wife had her second jab today i should have my second by first week in ,"['well', 'right']",nan,2,0,Positive
 snow wrld cashapp pokimanelol trainwreckstv qtcinderella realmizkif text on phone 1 507 262 5933 text the h ,nan,nan,0,0,neutral
rt heenasharma joebiden kamalaharris vp potus whitehouse i demand you ground the plane scheduled to deport 33 community members to ,nan,nan,0,0,neutral
 davidnisbet87 same my kids ring me from upstairs and that s about it think covid has turned us into antisocial hermits ,nan,nan,0,0,neutral
 tedcruz how many people have to die for you to feel free ,nan,nan,1,1,neutral
i am thrilled that we reached our goal of making the vaccine available to all oklahoma educators by spring break ,"['thrilled', 'available']",nan,2,0,Positive
i just realized covid lockdown for me started one year ago today ,nan,nan,0,0,neutral
i will wait i have been taking ivermectin since last july with no problems in 1976 we had a mass vaccination pr ,nan,['problems'],0,1,Negative
rt gopchairwoman only 9 of biden s 1 9 trillion boondoggle goes directly towards fighting covid and only 1 goes towards vaccines i ,nan,nan,0,0,neutral
 irishgirl1155 anonywhitemale i was in the midst of getting ready to move when covid 19 hit my house became a ,['ready'],nan,1,0,Positive
rt shossy2 not only stimulus checks but tax credits ui extension vaccine testing amp more any q s or maga refusing their check please d ,nan,"['not', 'refusing']",0,2,Negative
rt frankscarpitti covid 19 vaccinations continue in york region for seniors 80 please check regularly to see if ,nan,nan,0,0,neutral
rt drdavidsamadi it is very difficult for americans who are abroad to get back into america with the new covid 19 restrictions on the b ,nan,['difficult'],0,1,Negative
rt jeremynewberger brian kilmeade is done talking about the half a million americans who died of covid he has totally moved on he s lik ,nan,['died'],0,1,Negative
i can only imagine what humans will look like in 50 years after all the years of artificially genetically modifying ,['like'],nan,1,0,Positive
rt frankamari2 johncornyn are there more than 15 cases yet senator it s been 1 year since trump boasted 15 covid 19 cases would soon ,['trump'],nan,1,0,Positive
rt resistersis20 please vote and rt covid19 vaccine data i ,nan,nan,0,0,neutral
rt utahupdates if you ve ever participated in the drum circle at liberty park don t worry about what s in the vaccine ,nan,nan,1,1,neutral
i still don t understand why the gop are pushing voting laws that will hurt their own base elderly amp rural voters ,nan,['hurt'],0,1,Negative
rt anqelicjas small giveaway prizes 1st snow owl 2nd rhino 3rd 4 black bats one r ,nan,nan,0,0,neutral
rt jennyjo2206 brianliberal777 kathleen wynne ford has been scrambling under the guise of the emergency order to reward all his donors ,nan,"['scrambling', 'emergency']",0,2,Negative
 itskennyagain i think i ve only been lucky enough to see her twice i need covid to end and her to go back on tour wanda sykes too,"['lucky', 'enough']",nan,2,0,Positive
rt oxxrowanxxo sean hannity says biden should thank trump for what 500k covid deaths for downplaying a pandemic for causing an ins ,"['thank', 'trump']",nan,2,0,Positive
rt nickadamsinusa joe biden has nothing to do with creating a vaccine ,nan,nan,0,0,neutral
 oregonian yo oregongovbrown thanks my appointment is in 30 minutes 3 blocks away vaccine ,nan,nan,0,0,neutral
rt greensagec its the weekend meanwhile visit onlinetraining fitness training personaltrainer ,nan,nan,0,0,neutral
it s been 2 days since greg abbott ended the statewide mask mandate in texas since yesterday 4 605 new cases ,nan,nan,0,0,neutral
rt msnbc dr fauci aims for a universal vaccine to overlap the new covid 19 variants that continue to produce in other parts of world ,nan,nan,0,0,neutral
a recent camealeon survey explains the challenges refugees face during total lockdown in lebanon read more here ,nan,nan,0,0,neutral
rt isgoodrum china bolivia venezuela cuba and other global south countries support an ip waiver so generic covid vaccines can be mass ,['support'],nan,1,0,Positive
nws alert gt advisory mixed precipitation expected total snow accumulations of up to one inch amp ice accumulations u ,nan,nan,0,0,neutral
rt sciencemagazine a modeling study of sarscov2 vaccine strategies reports receiving one dose of a two dose vaccine decreases infections ,nan,['infections'],0,1,Negative
rt the beardedsina nigerian doctors i think we should stop talking about our japa plan on socia media again keep it coded after securin ,nan,nan,0,0,neutral
rt jeremynewberger brian kilmeade is done talking about the half a million americans who died of covid he has totally moved on he s lik ,nan,['died'],0,1,Negative
rt jilevin quad leaders vow to up india s vaccine production ,nan,nan,0,0,neutral
 hakirsch here s the thing i care i care about my patients to give my patients an empty vaccine is beyond hor ,nan,nan,0,0,neutral
rt chavezravinela the cdc recommends against displacing encampments for covid safety these special enforcement zones lead to displacemen ,['lead'],nan,1,0,Positive
rt cbcqueenspark new premier doug ford has apologized to mpp sol mamakwa for wrongly accusing him of jumping the line for a covid19 v ,nan,"['wrongly', 'accusing']",0,2,Negative
rt projectlincoln nearly 2 200 000 americans receive the vaccine every single day ,nan,nan,0,0,neutral
rt popsci this week marks the first anniversary of when who officially named covid 19 a global pandemic we re now entering year two of ,nan,nan,0,0,neutral
 meenaharris say it again for the folks in the back without a mask and no vaccine,nan,nan,0,0,neutral
today 400 teachers amp staff from ssa and nine other area schools received their first dose of the covid 19 vaccine a ,nan,nan,0,0,neutral
rt usedgov dyk the federal retail pharmacy program is prioritizing covid19 vaccinations for school staff and childcare workers details ,nan,nan,0,0,neutral
we re supposed to get 2 feet of snow this weekend and everyone is fully prepared for it which means much like almo ,['like'],nan,1,0,Positive
rt senschumer thank you president biden thank you vice president harris thank you speaker pelosi together democrats delivered b ,nan,nan,1,1,neutral
 marydoolittl e atumbem saithusx1 pamkeithfl when crooked republicans cry cancel culture they mean continue w ,nan,"['crooked', 'cry']",0,2,Negative
rt chuckwoolery in the beginning of covid china closed down wuhan to the rest of china then they allowed 500 thousand residents of wuh ,nan,nan,0,0,neutral
rt cdhidaho starting mon march 15 residents 55 amp older with a qualifying medical condition will be eligible to get their covid 19 vacc ,nan,nan,0,0,neutral
 gba21 cnn i lost my son to covid ppl need to get vaccinated point blank forget politics and save a life that s more important ,nan,nan,1,1,neutral
rt gopchairwoman only 9 of biden s 1 9 trillion boondoggle goes directly towards fighting covid and only 1 goes towards vaccines i ,nan,nan,0,0,neutral
cnbc nearly half of workers suffer mental health issues since covid hit report finds there s been a jump in worke ,nan,"['suffer', 'issues']",0,2,Negative
rt swedenteam sweden is now below the european union average in covid deaths per capita if lockdowns and masks were effective this wo ,['effective'],nan,1,0,Positive
rt jim jordan president trump got us the covid19 vaccine president biden plagiarized it ,['trump'],nan,1,0,Positive
rt ryanstruyk president biden that s why we got the vaccine publicly in front of cameras so for the world to see so you could see us ,nan,nan,0,0,neutral
rt projectlincoln nearly 2 200 000 americans receive the vaccine every single day ,nan,nan,0,0,neutral
 jnjglobalhealth johnson amp johnson how can i trust you with a covid vaccine when i just spent 7 bucks on skin flex ba ,['trust'],nan,1,0,Positive
rt politifact biden s chief of staff ron klain said that the plan for community vaccine distribution did not really exist the trump ad ,nan,nan,1,1,neutral
rt jilevin stephen colbert mocks trump s unbelievably sad vaccine statement ,nan,"['mocks', 'unbelievably', 'sad']",0,3,Negative
 patricksavalle sars cov2 covid playlist ,nan,nan,0,0,neutral
 pandorasredbox welpimback1 irs gone want they money come rain sleet hail or snow ,['hail'],nan,1,0,Positive
rt derrickdmv me before covid vs now ,nan,nan,0,0,neutral
rt vp every adult will be eligible to get a vaccine by may 1 more than 95 million shots have been administered 33 million americans ,nan,nan,0,0,neutral
rt cc1167 i buried my dad yesterday and i m heartbroken he had end stage copd but was still given the vaccine he died exactly 2 weeks a ,nan,['died'],0,1,Negative
rt lerrydeguzman aldub295thweeksary aldenrichards mainemendoza kids dont lie why not interview scarlet snow belo kho on what she see ,nan,"['lie', 'not']",0,2,Negative
this town is gonna be mine after i get the vaccine watch out,nan,nan,0,0,neutral
rt hilliatfields why did they call it covid road map amp not the road to demask us ,nan,['not'],0,1,Negative
rt slcmayor the state needs to move essential workers who interact with the public up in the vaccine priority line out of respect for t ,['respect'],nan,1,0,Positive
rt palmerreport trump s operation warp speed clearly didn t speed up anything since the first vaccine out of the gate wasn t even part ,"['trump', 'clearly']",nan,2,0,Positive
rt google when it comes to masks two is better than one do your part and help fight covid 19 by layering two masks together ,['better'],nan,1,0,Positive
rt frankamari2 senrickscott repmariasalazar marcorubio memo to every registered voter in florida senators rubio and scott vote agai ,nan,nan,0,0,neutral
rt kurteichenwald when i traveled hours to get my vaccine i went though a lot of rural texas i saw these signs saying things like jesu ,['like'],nan,1,0,Positive
we do poc bear a greater covid burden is it a socioeconomic issue compliance with cdc guidelines if we have a ,nan,"['burden', 'issue']",0,2,Negative
rt marshablackburn this bill represents everything wrong with washington in tennessee we ve worked hard to protect both our people and ,nan,nan,2,2,neutral
rt meiselasb the gqp be like we don t believe in vaccines and we don t believe covid is a public health concern but please give credit ,nan,nan,1,1,neutral
rt parisdennard what joe biden meant to say thank you president trump for your whole of government approach to fighting covid19 which ,"['thank', 'trump']",nan,2,0,Positive
rt justintrudeau update on delivery schedules from pfizer we ll now get at least 1 million doses of their covid 19 vaccine each week fro ,nan,nan,0,0,neutral
rt looksbylilah if you ever went to the cliffs in cypress you don t need the vaccine you already immune to rona ,nan,nan,0,0,neutral
rt meiselasb the gqp be like we don t believe in vaccines and we don t believe covid is a public health concern but please give credit ,nan,nan,1,1,neutral
rt tinynietzsche i wish i knew emergency yoga,nan,['emergency'],0,1,Negative
rt ellie 00 you can register your phone number to 999 by just texting them register this means you can text the emergency services if ,nan,['emergency'],0,1,Negative
 amberb sd i m going to keep wearing my mask until it s safe and i have the vaccine but i can t wait until it s no longer necessary ,['safe'],nan,1,0,Positive
rt natbco old san juan is a 16th century city not a playground tourism is returning to puerto rico however a wave of misbehaving t ,nan,['not'],0,1,Negative
rt clydessb breaking rangers are asking supporters to stay at home ahead of next weekend s old firm clash we are cognisant of the ,nan,"['breaking', 'clash']",0,2,Negative
 goodfoodgal if you have the vaccine you will still get the infection and transmit it but the vaccine prevents you ,nan,['infection'],0,1,Negative
rt sensanders today my colleagues and i sent a letter to secblinken asking him to urge the israeli government to make sure that all pale ,nan,['pale'],0,1,Negative
rt jim jordan president trump got us the covid19 vaccine president biden plagiarized it ,['trump'],nan,1,0,Positive
i find this baffling could he tell us more about how and why a 3rd wave is inevitable is it a scare tactic is th ,nan,"['baffling', 'inevitable', 'scare']",0,3,Negative
not surprised the way health care workers are theorists against vaccines and adamant about not taking this one isn ,nan,"['not', 'adamant']",0,2,Negative
if this school selects me for one more random covid test i m beating somebody ass that shit feels horrible,nan,"['shit', 'horrible']",0,2,Negative
rt siobhanbenita i can t even begin to explain how wrong it is that this guy will be given media coverage when so many good candidates ha ,nan,nan,1,1,neutral
rt susanstjames3 obama biden average time for a new vaccine was 5 years trump was 10 months any questions thank trump,"['trump', 'thank']",nan,2,0,Positive
rt shoun b not italy reporting 25 649 new covid 19 cases ,nan,['not'],0,1,Negative
rt burst gyorn2 request snowman mtv fridaylivestream snow man s dancing is so cool i want the whole world to see it ,['cool'],nan,1,0,Positive
rt pcrclaims clever barristers will always win with acted reasonably in an emergency defending the government where they will fail is ,"['clever', 'win', 'reasonably']",nan,3,0,Positive
rt biphobicleo what if all of my tweets about black liberation started with so we talk a lot about the rise in asian directed violence d ,['liberation'],nan,1,0,Positive
rt royalmarines the construction of the winter warrior royalmarines have completed the arduous combat phase of the arctic deployment ,nan,['arduous'],0,1,Negative
 angry staffer you were the only one using the term china virus and you had nothing to do with the production of any vaccine nothing ,nan,"['angry', 'virus']",0,2,Negative
rt independent who grants emergency approval for 1 shot j amp j covid vaccine ,nan,nan,1,1,neutral
rt thisweekabc nonprofit advocates have hailed congress passage of a 1 9 trillion pandemic relief measure that has the potential to lif ,"['advocates', 'relief']",nan,2,0,Positive
rt joyhenderson78 we live in a province where indigenous mpps are scolded by the premier fordnation for getting the covid vaccine accord ,nan,nan,1,1,neutral
rt puffin1952 nearly half of trump supporters won t take the ccp virus vaccine poll via epochtimes,"['trump', 'won']",nan,2,0,Positive
rt tom fowdy it s still very well managed and the society is obedient unlike in the west but it s suffering from covid fatigue and doesn ,nan,"['suffering', 'fatigue']",0,2,Negative
rt theeconomist britain is the first big country to show similar results to israel where a jump start on vaccinations led to falling dea ,nan,nan,1,1,neutral
 johncornyn have you met the people who vote for you the vast majority of them won t get the vaccine ,['won'],nan,1,0,Positive
rt potus this afternoon i m hosting an event with the ceos of johnson amp johnson and merck to discuss our historic partnership to produce ,nan,nan,0,0,neutral
rt kurteichenwald johncornyn good god you re stupid he never said everyone will be vaccinated by may 1 he said everyone will qualif ,nan,nan,1,1,neutral
 elizzaaaat no i have had three invitation letters and a phone call i have done my own research and trust my imm ,['trust'],nan,1,0,Positive
rt senduckworth pregnant and lactating individuals have received conflicting information about the covid 19 vaccine and they deserve answ ,nan,['conflicting'],0,1,Negative
daytona beach mar 12 climate hi 77 lo 53 precip 0 0 snow 0 0 ,nan,['mar'],0,1,Negative
melbourne mar 12 climate hi 78 lo 56 precip 0 0 snow 0 0 ,nan,['mar'],0,1,Negative
orlando intl mar 12 climate hi 81 lo 54 precip 0 0 snow 0 0 ,nan,['mar'],0,1,Negative
 logjam9819 cactuarallstar dmjames123 ginacarano just like learning to drive correctly is a precaution to vehicu ,"['like', 'correctly']",nan,2,0,Positive
rt ukcolumn this audio by 21wire was enough to cause it to be censored silenced nobody is to be allowed to challenge the propaganda o ,nan,nan,1,1,neutral
okay did anyone else cry on the way home from their vaccine appointment just me ,nan,['cry'],0,1,Negative
rt tennessean tennessee reported 1 543 new cases and 16 additional deaths linked to covid 19 on friday there are now 12 572 active cases ,nan,nan,0,0,neutral
rt legaleagle24 i walk quickly in the middle of the road hands in pockets gripping my keys emergency call at the ready and plan a amp b pl ,nan,nan,1,1,neutral
 nycsanitation does anyone in this town clean the sidestreets leading to the fdr absolutely atrocious and has been ,"['clean', 'leading']",nan,2,0,Positive
rt the beardedsina nigerian doctors i think we should stop talking about our japa plan on socia media again keep it coded after securin ,nan,nan,0,0,neutral
rt crewcrew do mike pompeo s lavish dinner parties with wealthy ceos a former major league baseball commissioner reba mcentire and a n ,"['lavish', 'wealthy']",nan,2,0,Positive
rt lanecountygov effective today march 12 2021 lane county has been downgraded to moderate risk for covid 19 for information on wha ,nan,nan,1,1,neutral
rt dancrenshawtx you bribed americans with their own money and foot our kids with the bill you spend only 1 on vaccine distribution y ,nan,nan,0,0,neutral
rt resistersis20 please vote and rt covid19 vaccine data i ,nan,nan,0,0,neutral
rt hbkeddy dear mcdonalds y all brought back that nasty ass covid 19 mc rib back all i m asking is for you to bring back something wort ,nan,['nasty'],0,1,Negative
dr bittaye and co there s a lot of social media activity alleging that the astrazeneca vaccine causes blood clots ,nan,nan,0,0,neutral
 banditocatticus emergency teds campievanbears bearemyted wool f gang dcmonkey3 fredtedhug kathyh48308259 ,nan,['emergency'],0,1,Negative
 aurovibritannia i love their song but saint snow and guilty kiss are very different for me i just cant substitute gk like this,"['love', 'saint', 'like']",nan,3,0,Positive
rt tyleroakley tips fedora at vaccine appointment m derna,nan,nan,0,0,neutral
rt bettemidler i don t know abcnews says the biden administration hasn t been giving enough credit to donald s vaccine strategy but ho ,['enough'],nan,1,0,Positive
 sweeetaromatic my weather app saying it s boutta snow on tuesday but little does she know i put it the shovels away for good ,['good'],nan,1,0,Positive
rt johnrobertgage throwback to december when aoc said dems would be able to get a covid bill passed without a single republican vote if ,nan,nan,0,0,neutral
rt koshtorontosun vehvilainen will be assigned to the marlies once he clears covid protocols leafs,['clears'],nan,1,0,Positive
 some customers came into my store in the mall and i overheard them saying they just got their covid results bac ,nan,nan,0,0,neutral
rt spectatorindex coronavirus vaccine doses given per 100 people israel 104 uae 63 uk 35 chile 29 us 28 turkey 12 norway 11 spain ,nan,nan,0,0,neutral
rt dc uop how the covid 19 pandemic has impacted asian textile and garment workers a rights based and multi stakeholders approach join ,nan,nan,0,0,neutral
my grass is so dead bc of the snow pls i m sorry,nan,"['dead', 'sorry']",0,2,Negative
rt saratalkssports breaking tonight s season opener between delorofootball amp granitebayhigh has been canceled after a del oro player f ,nan,['breaking'],0,1,Negative
rt lipiroy earlier today i joined other doctors amp public health amp human rights activists to freethevaccine millions of people in low ,nan,nan,0,0,neutral
rt potus all adult americans will be eligible to get the vaccine no later than may 1 ,nan,nan,0,0,neutral
rt jim jordan president trump got us the covid19 vaccine president biden plagiarized it ,['trump'],nan,1,0,Positive
rt gopchairwoman only 9 of biden s 1 9 trillion boondoggle goes directly towards fighting covid and only 1 goes towards vaccines i ,nan,nan,0,0,neutral
 dr ianjackson sage were running flu script then not a sars type virus script that was an early and costly mistake,nan,"['not', 'virus', 'costly', 'mistake']",0,4,Negative
